sequence,mean,worst,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,prob_catastrophic,prob_degraded,prob_shortage,viol_catastrophic,viol_degraded,viol_shortage,violation_score,feasible
noop|reboot_A|reboot_D|reboot_A|noop|noop,192.375,378.0,378.0,378.0,378.0,378.0,378.0,378.0,343.0,360.5,221.3079108581075,264.516565966168,320.64249886000914,364.875,0.5,0.25,0.5,0.25,0.0,0.0,500000.0,False
noop|reboot_A|reboot_D|reboot_A|noop|reboot_A,170.25,384.0,384.0,384.0,384.0,384.00000000000006,384.0,384.00000000000006,314.0,349.0,202.84262729625172,250.82104408805947,311.2982216142271,357.75000000000006,0.125,0.25,0.375,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|reboot_A|noop|reboot_B,174.625,349.0,349.0,349.0,349.0,348.99999999999994,349.0,348.99999999999994,264.0,306.5,199.43439347744686,236.86918182302355,285.6894664842682,317.125,0.25,0.25,0.375,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|reboot_A|noop|reboot_C,180.875,349.0,349.0,349.0,349.0,348.99999999999994,349.0,348.99999999999994,314.0,331.5,206.2537505926174,244.43071287012134,294.826493388053,335.87500000000006,0.25,0.25,0.5,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|reboot_A|noop|reboot_D,174.625,349.0,349.0,349.0,349.0,348.99999999999994,349.0,348.99999999999994,349.0,349.0,202.2661457150847,244.4828597349226,299.7256041951665,349.00000000000006,0.25,0.25,0.375,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|reboot_A|reboot_A|noop,170.25,384.0,384.0,384.0,384.0,384.00000000000006,384.0,384.00000000000006,314.0,349.0,202.84262729625172,250.82104408805947,311.2982216142271,357.75000000000006,0.125,0.25,0.375,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|reboot_A|reboot_A|reboot_A,176.25,390.0,390.0,390.0,390.0,390.0,390.0,390.0,320.0,355.0,208.84262729625175,256.82104408805947,317.29822161422715,363.75,0.125,0.25,0.375,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|reboot_A|reboot_A|reboot_B,161.25,355.0,355.0,355.0,355.0,355.0,355.0,355.0,270.0,312.5,190.36583929184263,233.04967431214695,286.24829001367993,323.125,0.125,0.25,0.25,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|reboot_A|reboot_A|reboot_C,155.0,355.0,355.0,355.0,355.0,355.0,355.0,355.0,270.0,312.5,183.11660293589182,225.14344426784163,280.39101687186513,323.125,0.125,0.25,0.125,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|reboot_A|reboot_A|reboot_D,161.25,355.0,355.0,355.0,355.0,355.0,355.0,355.0,320.0,337.5,192.0941045988274,238.08526998884815,295.6161650706795,341.875,0.125,0.25,0.25,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|reboot_A|reboot_B|noop,159.625,314.0,314.0,314.0,314.0,314.0,314.0,314.0,229.0,271.5,181.3846360866802,214.28053751458793,256.82831737346106,282.125,0.125,0.125,0.375,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|reboot_A|reboot_B|reboot_A,146.25,320.0,320.0,320.0,320.0,320.0,320.0,320.0,220.0,270.0,171.88905128743346,209.27830453623437,255.1983584131327,282.5,0.0,0.125,0.25,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|reboot_A|reboot_B|reboot_B,165.625,320.0,320.0,320.0,320.0,320.0,320.0,320.0,235.0,277.5,187.38463608668025,220.28053751458793,262.82831737346106,288.125,0.125,0.125,0.375,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|reboot_A|reboot_B|reboot_C,146.25,270.0,270.0,270.0,270.0,270.0,270.0,270.0,200.0,235.0,162.97539044125284,188.3317029022111,222.23666210670316,243.75,0.0,0.125,0.25,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|reboot_A|reboot_B|reboot_D,138.125,270.0,270.0,270.0,270.0,270.0,270.0,270.0,220.0,245.0,157.43107851377692,187.3417619099932,225.7387140902873,251.25,0.0,0.125,0.0,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|reboot_A|reboot_C|noop,147.125,264.0,264.0,264.0,264.0,264.0,264.0,264.0,214.0,239.0,164.31708649669542,189.44246456965953,221.5849293205654,245.24999999999997,0.125,0.125,0.375,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|reboot_A|reboot_C|reboot_A,121.25,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,140.4373067370619,167.799506535513,199.0845873233014,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
